Unix,Date,Symbol,Open,High,Low,Close,Volume 1INCH,Volume BTC,tradecount
1649894400000,2022-04-14,1INCHBTC,3.76e-05,3.809e-05,3.711e-05,3.794e-05,254595.9,9.57680179,4958
1649808000000,2022-04-13,1INCHBTC,3.78e-05,3.823e-05,3.718e-05,3.77e-05,151901.8,5.72640681,2128
1649721600000,2022-04-12,1INCHBTC,3.698e-05,3.794e-05,3.661e-05,3.779e-05,271079.8,10.08088793,5132
1649635200000,2022-04-11,1INCHBTC,3.762e-05,3.791e-05,3.559e-05,3.696e-05,344901.4,12.61980257,4420
1649548800000,2022-04-10,1INCHBTC,3.891e-05,3.891e-05,3.756e-05,3.763e-05,169219.1,6.45045009,2756
1649462400000,2022-04-09,1INCHBTC,3.733e-05,3.905e-05,3.724e-05,3.891e-05,294766.0,11.33868203,3785
1649376000000,2022-04-08,1INCHBTC,3.814e-05,3.852e-05,3.714e-05,3.733e-05,322933.4,12.26090775,4766
1649289600000,2022-04-07,1INCHBTC,3.707e-05,3.823e-05,3.672e-05,3.815e-05,323322.9,12.13771597,3498
1649203200000,2022-04-06,1INCHBTC,4.036e-05,4.047e-05,3.686e-05,3.712e-05,748355.6,28.63480586,5799
1649116800000,2022-04-05,1INCHBTC,4.079e-05,4.145e-05,3.99e-05,4.033e-05,431135.6,17.51728707,5388
1649030400000,2022-04-04,1INCHBTC,4.261e-05,4.337e-05,3.989e-05,4.075e-05,657591.8,27.21248707,7449
1648944000000,2022-04-03,1INCHBTC,4.194e-05,4.379e-05,4.111e-05,4.264e-05,628787.8,26.67508444,6855
1648857600000,2022-04-02,1INCHBTC,4.067e-05,4.5e-05,4.01e-05,4.198e-05,1645626.8,70.36735045,14851
1648771200000,2022-04-01,1INCHBTC,3.903e-05,4.081e-05,3.772e-05,4.068e-05,731368.6,28.77897883,5266
1648684800000,2022-03-31,1INCHBTC,3.91e-05,4.091e-05,3.776e-05,3.904e-05,1042558.6,41.01758346,9395
1648598400000,2022-03-30,1INCHBTC,3.769e-05,3.999e-05,3.649e-05,3.901e-05,515659.0,19.8411901,5803
1648512000000,2022-03-29,1INCHBTC,3.661e-05,3.986e-05,3.66e-05,3.783e-05,676842.1,25.85404371,6146
1648425600000,2022-03-28,1INCHBTC,3.729e-05,3.882e-05,3.635e-05,3.659e-05,678761.7,25.67188628,5987
1648339200000,2022-03-27,1INCHBTC,3.654e-05,3.892e-05,3.644e-05,3.73e-05,983917.5,37.17368775,9484
1648252800000,2022-03-26,1INCHBTC,3.548e-05,3.67e-05,3.515e-05,3.652e-05,363045.6,13.05047607,6240
1648166400000,2022-03-25,1INCHBTC,3.706e-05,3.74e-05,3.511e-05,3.546e-05,655996.2,23.69404093,7584
1648080000000,2022-03-24,1INCHBTC,3.763e-05,3.818e-05,3.633e-05,3.703e-05,752702.4,28.04006447,9090
1647993600000,2022-03-23,1INCHBTC,3.648e-05,3.835e-05,3.63e-05,3.761e-05,684696.2,25.74562852,7470
1647907200000,2022-03-22,1INCHBTC,3.734e-05,3.846e-05,3.63e-05,3.65e-05,552453.7,20.46290094,7111
1647820800000,2022-03-21,1INCHBTC,3.768e-05,3.86e-05,3.716e-05,3.732e-05,1471359.1,55.24344843,7962
1647734400000,2022-03-20,1INCHBTC,3.871e-05,3.943e-05,3.734e-05,3.768e-05,655811.4,25.00933056,8150
1647648000000,2022-03-19,1INCHBTC,3.811e-05,4.168e-05,3.789e-05,3.869e-05,2171213.8,86.20113241,10903
1647561600000,2022-03-18,1INCHBTC,3.621e-05,3.949e-05,3.596e-05,3.811e-05,1599868.5,61.08938893,14894
1647475200000,2022-03-17,1INCHBTC,3.667e-05,3.788e-05,3.589e-05,3.623e-05,637221.8,23.35083334,6896
1647388800000,2022-03-16,1INCHBTC,3.443e-05,3.817e-05,3.375e-05,3.667e-05,2007842.7,73.16027165,15410
1647302400000,2022-03-15,1INCHBTC,3.365e-05,3.459e-05,3.355e-05,3.441e-05,285157.2,9.74118523,3539
1647216000000,2022-03-14,1INCHBTC,3.46e-05,3.462e-05,3.335e-05,3.362e-05,226382.3,7.71886758,5121
1647129600000,2022-03-13,1INCHBTC,3.429e-05,3.616e-05,3.419e-05,3.465e-05,396659.3,13.99265318,5515
1647043200000,2022-03-12,1INCHBTC,3.406e-05,3.512e-05,3.405e-05,3.43e-05,402573.9,13.87351332,5946
1646956800000,2022-03-11,1INCHBTC,3.479e-05,3.483e-05,3.374e-05,3.409e-05,221636.6,7.56503386,3811
1646870400000,2022-03-10,1INCHBTC,3.277e-05,3.742e-05,3.265e-05,3.483e-05,836670.5,29.17749219,5243
1646784000000,2022-03-09,1INCHBTC,3.348e-05,3.388e-05,3.221e-05,3.28e-05,448037.8,14.77067771,2989
1646697600000,2022-03-08,1INCHBTC,3.347e-05,3.379e-05,3.297e-05,3.346e-05,401478.0,13.43280009,2040
1646611200000,2022-03-07,1INCHBTC,3.395e-05,3.402e-05,3.29e-05,3.348e-05,435129.4,14.5467263,2478
1646524800000,2022-03-06,1INCHBTC,3.446e-05,3.463e-05,3.373e-05,3.389e-05,244613.7,8.35554222,2279
1646438400000,2022-03-05,1INCHBTC,3.444e-05,3.49e-05,3.36e-05,3.446e-05,487221.7,16.65724649,2071
1646352000000,2022-03-04,1INCHBTC,3.385e-05,3.471e-05,3.355e-05,3.445e-05,373197.7,12.72465421,3010
1646265600000,2022-03-03,1INCHBTC,3.406e-05,3.45e-05,3.329e-05,3.386e-05,227791.3,7.70905416,2525
1646179200000,2022-03-02,1INCHBTC,3.423e-05,3.476e-05,3.352e-05,3.399e-05,562182.3,19.19836172,3355
1646092800000,2022-03-01,1INCHBTC,3.484e-05,3.518e-05,3.401e-05,3.421e-05,367177.7,12.67000169,3898
1646006400000,2022-02-28,1INCHBTC,3.663e-05,3.663e-05,3.372e-05,3.483e-05,634321.1,22.31886112,4342
1645920000000,2022-02-27,1INCHBTC,3.67e-05,3.923e-05,3.578e-05,3.668e-05,259509.4,9.66765978,3316
1645833600000,2022-02-26,1INCHBTC,3.698e-05,3.722e-05,3.638e-05,3.669e-05,175384.6,6.45396089,1520
1645747200000,2022-02-25,1INCHBTC,3.5e-05,3.804e-05,3.437e-05,3.7e-05,334599.8,11.87844911,2930
1645660800000,2022-02-24,1INCHBTC,3.717e-05,3.736e-05,3.416e-05,3.493e-05,582130.5,20.50285519,4557
1645574400000,2022-02-23,1INCHBTC,3.72e-05,3.829e-05,3.705e-05,3.716e-05,196662.7,7.41490012,2143
1645488000000,2022-02-22,1INCHBTC,3.692e-05,3.771e-05,3.605e-05,3.719e-05,381225.5,14.05534508,2663
1645401600000,2022-02-21,1INCHBTC,3.868e-05,3.95e-05,3.669e-05,3.689e-05,413866.6,15.93865982,3207
1645315200000,2022-02-20,1INCHBTC,3.949e-05,3.949e-05,3.775e-05,3.864e-05,313520.1,12.09937686,3131
1645228800000,2022-02-19,1INCHBTC,3.952e-05,3.981e-05,3.839e-05,3.954e-05,205177.8,8.06166496,5344
1645142400000,2022-02-18,1INCHBTC,4.096e-05,4.121e-05,3.917e-05,3.964e-05,469958.7,18.88462693,5160
1645056000000,2022-02-17,1INCHBTC,4.117e-05,4.154e-05,4.027e-05,4.094e-05,391667.5,16.03561621,6777
1644969600000,2022-02-16,1INCHBTC,4.038e-05,4.202e-05,3.984e-05,4.108e-05,351982.5,14.4726753,4707
1644883200000,2022-02-15,1INCHBTC,3.987e-05,4.047e-05,3.948e-05,4.041e-05,303675.6,12.09941101,3250
1644796800000,2022-02-14,1INCHBTC,3.943e-05,4.096e-05,3.889e-05,3.991e-05,392899.3,15.67340565,3738
1644710400000,2022-02-13,1INCHBTC,4.007e-05,4.02e-05,3.848e-05,3.937e-05,203704.7,8.01621515,3503
1644624000000,2022-02-12,1INCHBTC,4.042e-05,4.099e-05,3.933e-05,4.003e-05,215286.5,8.59926061,3421
1644537600000,2022-02-11,1INCHBTC,4.137e-05,4.212e-05,3.988e-05,4.046e-05,346222.4,14.20737071,5884
1644451200000,2022-02-10,1INCHBTC,4.335e-05,4.414e-05,4.065e-05,4.141e-05,356867.9,15.05917081,6006
1644364800000,2022-02-09,1INCHBTC,4.225e-05,4.395e-05,4.216e-05,4.332e-05,392397.4,16.92549477,4558
1644278400000,2022-02-08,1INCHBTC,4.422e-05,4.498e-05,4.146e-05,4.222e-05,579961.3,24.75686614,6258
1644192000000,2022-02-07,1INCHBTC,4.385e-05,4.483e-05,4.315e-05,4.425e-05,482941.7,21.28431183,4131
1644105600000,2022-02-06,1INCHBTC,4.319e-05,4.468e-05,4.279e-05,4.388e-05,425474.0,18.65097925,4109
1644019200000,2022-02-05,1INCHBTC,4.234e-05,4.435e-05,4.228e-05,4.319e-05,301785.9,13.09548132,3487
1643932800000,2022-02-04,1INCHBTC,4.455e-05,4.535e-05,4.226e-05,4.247e-05,340979.3,14.99230398,3505
1643846400000,2022-02-03,1INCHBTC,4.42e-05,4.474e-05,4.357e-05,4.449e-05,198925.4,8.79264974,2161
1643760000000,2022-02-02,1INCHBTC,4.409e-05,4.512e-05,4.35e-05,4.42e-05,308833.2,13.70485279,3183
1643673600000,2022-02-01,1INCHBTC,4.381e-05,4.499e-05,4.304e-05,4.405e-05,250862.9,10.96981772,3449
1643587200000,2022-01-31,1INCHBTC,4.381e-05,4.425e-05,4.281e-05,4.374e-05,167130.5,7.28562076,3500
1643500800000,2022-01-30,1INCHBTC,4.487e-05,4.527e-05,4.326e-05,4.381e-05,188147.9,8.3760451,3811
1643414400000,2022-01-29,1INCHBTC,4.364e-05,4.585e-05,4.36e-05,4.488e-05,615859.3,27.78050171,3538
1643328000000,2022-01-28,1INCHBTC,4.281e-05,4.408e-05,4.226e-05,4.368e-05,381670.1,16.46476786,3054
1643241600000,2022-01-27,1INCHBTC,4.419e-05,4.468e-05,4.238e-05,4.282e-05,252986.0,11.0704174,2713
1643155200000,2022-01-26,1INCHBTC,4.316e-05,4.747e-05,4.28e-05,4.41e-05,877494.7,39.69597476,5916
1643068800000,2022-01-25,1INCHBTC,4.327e-05,4.377e-05,4.244e-05,4.302e-05,274051.8,11.82165932,2521
1642982400000,2022-01-24,1INCHBTC,4.66e-05,4.684e-05,4.245e-05,4.326e-05,625504.7,27.59434086,4344
1642896000000,2022-01-23,1INCHBTC,4.601e-05,4.747e-05,4.535e-05,4.663e-05,625652.4,29.13091353,4020
1642809600000,2022-01-22,1INCHBTC,5.051e-05,5.074e-05,4.4e-05,4.601e-05,977376.0,45.4898618,7456
