JobFolder,JobName,Revision,ModifiedDate,Comments,Product,LogOnUser,Line,SetupName,TopBottom,PanelLength,PanelWidth,PanelThickness,ImportCad,ImportBom,Optimize,Datacheck
"\GOOGLE","50GTU4-lot 1--test4","02","2025/04/30 19:07:17","","MODEL1","TOUMI","Line6","Original setup","0","321","210","1.6","1","1","1","1",
LineName,OrderNum,ModelName,ModuleNumber,SideNo,SetupName,AVLNAME,AVL,PartNumber,FeederName,Status,Location,FeederID,PartNumberImage,PartShapeName,PackageName,PartComment,PMABAR,ChuteType,FeederType,TapeWidth,FeedPitch,PTPMNH,QTY,PMADC
"Line6","1","NXT6","2","0","Original setup","","","19-GA2203-FTX01JR","KT-0800F-180","Variable","'05","21005","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA2203-FTX01JR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","2","0",
"Line6","1","NXT6","2","0","Original setup","","","19-GA0750-JTXJR","KT-0800F-180","Variable","'06","21006","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0750-JTXJR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","2","0",
"Line6","1","NXT6","2","0","Original setup","","","19-GA0332-FTX01JR","KT-0800F-180","Variable","'07","21007","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0332-FTX01JR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","2","0",
"Line6","1","NXT6","2","0","Original setup","","","28-HB0152-KR01JR","KT-0800F-180","Variable","'08","21008","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-HB0152-KR01JR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","2","0",
"Line6","1","NXT6","2","0","Original setup","","","28-HB0189-CC01JR","KT-0800F-180","Variable","'09","21009","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-HB0189-CC01JR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","2","0",
"Line6","1","NXT6","2","0","Original setup","","","28-HB0120-JC01JR","KT-0800F-180","Variable","'10","21010","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-HB0120-JC01JR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","4","0",
"Line6","1","NXT6","2","0","Original setup","","","33-ECL801-NT01JR","KT-0800F-180","Variable","'11","21011","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\33-ECL801-NT01JR.bmp","filtre LC4 0805 x 1.4","E0804","","","","Emboss","8mm","4","1.4","4","0",
"Line6","1","NXT6","2","0","Original setup","","","19-GA0913-FTX01JR","KT-0800F-180","Variable","'12","21012","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0913-FTX01JR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","4","0",
"Line6","1","NXT6","2","0","Original setup","","","19-GA0153-FTXJR","KT-0800F-180","Variable","'13","21013","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0153-FTXJR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","4","0",
"Line6","1","NXT6","2","0","Original setup","","","28-HB0471-KR01JR","KT-0800F-180","Variable","'14","21014","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-HB0471-KR01JR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","6","0",
"Line6","1","NXT6","2","0","Original setup","","","28-HD0473-KRXJR","KT-0800F-180","Variable","'15","21015","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-HD0473-KRXJR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","6","0",
"Line6","1","NXT6","2","0","Original setup","","","28-HC0105-KBXJR","KT-0800F-180","Variable","'16","21016","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-HC0105-KBXJR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","6","0",
"Line6","1","NXT6","2","0","Original setup","","","28-HB0479-CC01JR","KT-0800F-180","Variable","'17","21017","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-HB0479-CC01JR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","8","0",
