JobFolder,JobName,Revision,ModifiedDate,Comments,Product,LogOnUser,Line,SetupName,TopBottom,PanelLength,PanelWidth,PanelThickness,ImportCad,ImportBom,Optimize,Datacheck,,,,,,,,
\D10,40-43D10 6Module,2,4/30/2025 19:05,,MODEL1,TOUMI,Line6,Original setup,0,299,250,1.6,1,1,0,0,,,,,,,,
LineName,OrderNum,ModelName,ModuleNumber,SideNo,SetupName,AVLNAME,AVL,PartNumber,FeederName,Status,Location,FeederID,PartNumberImage,PartShapeName,PackageName,PartComment,PMABAR,ChuteType,FeederType,TapeWidth,FeedPitch,PTPMNH,QTY,PMADC
Line6,1,NXT6,1,0,Original setup,,,,,Variable,'36,11036,,,,,,,,,,,0,
Line6,1,NXT6,1,0,Original setup,,,,,Variable,'37,11037,,,,,,,,,,,0,
Line6,1,NXT6,1,0,Original setup,,,,,Variable,'38,11038,,,,,,,,,,,0,
Line6,1,NXT6,1,0,Original setup,,,,,Variable,'39,11039,,,,,,,,,,,0,
Line6,1,NXT6,1,0,Original setup,,,,,Variable,'40,11040,,,,,,,,,,,0,
Line6,1,NXT6,1,0,Original setup,,,,,Variable,'41,11041,,,,,,,,,,,0,
Line6,1,NXT6,1,0,Original setup,,,,,Variable,'42,11042,,,,,,,,,,,0,
Line6,1,NXT6,1,0,Original setup,,,,,Variable,'43,11043,,,,,,,,,,,0,
Line6,1,NXT6,1,0,Original setup,,,,,Variable,'44,11044,,,,,,,,,,,0,
Line6,1,NXT6,1,0,Original setup,,,,,Variable,'45,11045,,,,,,,,,,,0,
Line6,1,NXT6,2,0,Original setup,,,,,Variable,'01,21001,,,,,,,,,,,0,
Line6,1,NXT6,2,0,Original setup,,,004.002.0000089,KT-0800F-180,Variable,'02,21002,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000089.bmp,R-1206,P0804,,,,Paper,8mm,4,0.57,14,0
Line6,1,NXT6,2,0,Original setup,,,004.002.0000122,KT-0800F-180,Variable,'03,21003,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000122.bmp,R-1206,P0804,,,,Paper,8mm,4,0.57,6,0
Line6,1,NXT6,2,0,Original setup,,,004.003.0000532,KT-0800F-180,Variable,'04,21004,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.003.0000532.bmp,C-0402,P0802,,,,Paper,8mm,2,0.49,2,0
Line6,1,NXT6,2,0,Original setup,,,004.003.0000387,KT-0800F-180,Variable,'05,21005,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.003.0000387.bmp,C-0402,P0802,,,,Paper,8mm,2,0.49,2,0
Line6,1,NXT6,2,0,Original setup,,,004.002.0001170,KT-0800F-180,Variable,'06,21006,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0001170.bmp,R-0805,P0804,,,,Paper,8mm,4,0.53,2,0
Line6,1,NXT6,2,0,Original setup,,,,,Variable,'07,21007,,,,,,,,,,,0,
Line6,1,NXT6,2,0,Original setup,,,,,Variable,'08,21008,,,,,,,,,,,0,
Line6,1,NXT6,2,0,Original setup,,,,,Variable,'09,21009,,,,,,,,,,,0,
Line6,1,NXT6,2,0,Original setup,,,004.014.0000140,KT-1200F-180,Variable,'10,21010,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.014.0000140.bmp,QFN24 4X4 d10,E1208,,,,Emboss,12mm,8,0.75,2,0
Line6,1,NXT6,2,0,Original setup,,,,,Variable,'11,21011,,,,,,,,,,,0,
Line6,1,NXT6,2,0,Original setup,004.005.0050238,"004.005.0000659,004.005.0050238,004.005.0000888",004.005.0000659,KT-1200F-180,Variable,'12,21012,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.005.0000659.bmp,DO- SMA 3,E1204,,,,Emboss,12mm,4,1.2,8,0
Line6,1,NXT6,2,0,Original setup,,,,,Variable,'13,21013,,,,,,,,,,,0,
Line6,1,NXT6,2,0,Original setup,,,004.002.0000728,KT-0800F-180,Variable,'14,21014,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000728.bmp,R-0402,P0802,,,,Paper,8mm,2,0.33,2,0
Line6,1,NXT6,2,0,Original setup,,,004.002.0000721,KT-0800F-180,Variable,'15,21015,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000721.bmp,R-0402,P0802,,,,Paper,8mm,2,0.33,2,0
Line6,1,NXT6,2,0,Original setup,,,004.002.0000658,KT-0800F-180,Variable,'16,21016,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000658.bmp,R-0402,P0802,,,,Paper,8mm,2,0.33,4,0
Line6,1,NXT6,2,0,Original setup,,,004.003.0000402,KT-0800F-180,Variable,'17,21017,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.003.0000402.bmp,C-0402,P0802,,,,Paper,8mm,2,0.49,4,0
Line6,1,NXT6,2,0,Original setup,,,004.002.0000569,KT-0800F-180,Variable,'18,21018,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000569.bmp,R-0402,P0802,,,,Paper,8mm,2,0.33,4,0
Line6,1,NXT6,2,0,Original setup,,,004.002.0000579,KT-0800F-180,Variable,'19,21019,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000579.bmp,R-0402,P0802,,,,Paper,8mm,2,0.33,6,0
Line6,1,NXT6,2,0,Original setup,,,004.002.0000155,KT-0800F-180,Variable,'20,21020,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000155.bmp,R-1206,P0804,,,,Paper,8mm,4,0.57,8,0
Line6,1,NXT6,2,0,Original setup,,,,,Variable,'21,21021,,,,,,,,,,,0,
Line6,1,NXT6,2,0,Original setup,,,004.003.0000383,KT-0800F-180,Variable,'22,21022,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.003.0000383.bmp,C-0603-W,E0804,,,,Emboss,8mm,4,0.67,20,0
Line6,1,NXT6,2,0,Original setup,,,004.003.0000501,KT-0800F-180,Variable,'23,21023,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.003.0000501.bmp,C-0402,P0802,,,,Paper,8mm,2,0.49,20,0
