JobFolder;;;;;;;;;;;;;;;;;;;;;;;
\DONGLE;DONGLE-DUAL;1;5/29/2025 15:06;;ghemmal;Line12;OR01;0;138.8;143.2;1.2;1;1;0;0;;;;;;;;
LineName;OrderNum;ModelName;ModuleNumber;SideNo;AVLNAME;AVL;PartNumber;FeederName;Status;Location;FeederID;PartNumberImage;PartShapeName;PackageName;PartComment;PMABAR;ChuteType;FeederType;TapeWidth;FeedPitch;PTPMNH;QTY;PMADC
Line12;1;NXT12;3;0;;;;;Variable;'05;31005;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'06;31006;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'07;31007;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'08;31008;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'09;31009;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'10;31010;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'11;31011;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'12;31012;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'13;31013;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'14;31014;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'15;31015;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'16;31016;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'17;31017;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'18;31018;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'19;31019;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;1201-AA1320-F10A;KT-0800F-180;Fixed;'20;31020;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;3;0;;;1201-AA2020-J10A;KT-0800F-180;Fixed;'21;31021;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;3;0;;;1301-A2D561-K50A;KT-0800F-180;Fixed;'22;31022;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;3;0;;;1301-A2B105-Z50A;KT-0800F-180;Fixed;'23;31023;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;3;0;;;1201-AA1040-F10A;KT-0800F-180;Fixed;'24;31024;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;3;0;;;1201-AA1340-F11A;KT-0800F-180;Fixed;'25;31025;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;3;0;;;1201-AA2040-F10A;KT-0800F-180;Fixed;'26;31026;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;3;0;;;;;Variable;'27;31027;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'28;31028;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'29;31029;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'30;31030;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'31;31031;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'32;31032;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'33;31033;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'34;31034;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'35;31035;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'36;31036;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'37;31037;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'38;31038;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'39;31039;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'40;31040;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'41;31041;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'42;31042;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'43;31043;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'44;31044;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'45;31045;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'01;41001;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'02;41002;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'03;41003;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'04;41004;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'05;41005;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'06;41006;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'07;41007;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'08;41008;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'09;41009;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'10;41010;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'11;41011;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'12;41012;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'13;41013;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'14;41014;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'15;41015;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'16;41016;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'17;41017;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;1201-AA1832-F10A;KT-0800F-180;Fixed;'18;41018;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;4;0;;;1201-AA2030-F10A;KT-0800F-180;Fixed;'19;41019;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;4;0;;;1201-AA4720-J10A;KT-0800F-180;Fixed;'20;41020;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;4;0;;;1201-AA5130-F10A;KT-0800F-180;Fixed;'21;41021;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;4;0;;;1201-AA1010-J10A;KT-0800F-180;Fixed;'22;41022;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;4;0;;;1201-AA1030-J10A;KT-0800F-180;Fixed;'23;41023;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;4;0;;;1201-AA51A0-J10A;KT-0800F-180;Fixed;'24;41024;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;4;0;;;1201-AA8220-F10A;KT-0800F-180;Fixed;'25;41025;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;4;0;;;1201-AA1040-J10A;KT-0800F-180;Fixed;'26;41026;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;4;0;;;1201-AA1240-F10A;KT-0800F-180;Fixed;'27;41027;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;4;0;;;;;Variable;'28;41028;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'29;41029;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'30;41030;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'31;41031;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'32;41032;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'33;41033;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'34;41034;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'35;41035;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'36;41036;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'37;41037;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'38;41038;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'39;41039;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'40;41040;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'41;41041;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'42;41042;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'43;41043;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'44;41044;;;;;;;;;;;0;
Line12;1;NXT12;4;0;;;;;Variable;'45;41045;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'01;51001;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'02;51002;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'03;51003;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'04;51004;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'05;51005;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'06;51006;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'07;51007;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'08;51008;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'09;51009;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'10;51010;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'11;51011;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'12;51012;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'13;51013;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'14;51014;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'15;51015;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'16;51016;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'17;51017;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;1201-AA9130-F10A;KT-0800F-180;Fixed;'18;51018;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;5;0;;;1201-AB2730-F10A;KT-0800F-180;Fixed;'19;51019;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;5;0;;;1201-AA2200-J10A;KT-0800F-180;Fixed;'20;51020;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;5;0;;;1509-4Y3V3A-101A;KT-0800F-180;Fixed;'21;51021;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;5;0;;;1301-A2C101-Z50A;KT-0800F-180;Fixed;'22;51022;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;5;0;;;1301-A3G100-J50A;KT-0800F-180;Fixed;'23;51023;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;5;0;;;1201-AA4730-J10A;KT-0800F-180;Fixed;'24;51024;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;5;0;;;1301-A3B105-Z50A;KT-0800F-180;Fixed;'25;51025;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;5;0;;;1401-52102-Y10A;KT-0800F-180;Fixed;'26;51026;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;5;0;;;1515-11R520-101A;KT-0800F-180;Fixed;'27;51027;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;5;0;;;1201-AA1640-F10A;KT-0800F-180;Fixed;'28;51028;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;5;0;;;;;Variable;'29;51029;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'30;51030;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'31;51031;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'32;51032;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'33;51033;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'34;51034;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'35;51035;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'36;51036;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'37;51037;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'38;51038;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'39;51039;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'40;51040;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'41;51041;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'42;51042;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'43;51043;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'44;51044;;;;;;;;;;;0;
Line12;1;NXT12;5;0;;;;;Variable;'45;51045;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'01;61001;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'02;61002;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'03;61003;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'04;61004;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'05;61005;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'06;61006;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'07;61007;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'08;61008;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'09;61009;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'10;61010;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'11;61011;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'12;61012;;;;;;;;;;;0;
Line12;1;NXT12;6;0;;;;;Variable;'13;61013;;;;;;;;;;;0;
