PartNumber,Shape,VT,SizeX,SizeY,Height,FIDL,Position,Pickup,NoPick,Usage,Reject,Error,Dislodge,Rescan,LCR,Pickup Rate,Reject Rate,Error Rate,Dislodge Rate,Success Rate
0RJ3902C478,R-0402,60,1,0.5,0.33,"KT8FL K08161,KT8FL K14350,KT8FL K14379",M2-29,17859,0,17859,0,0,6,0,0,99.97,0,0,0.03,99.97
0RJ4302C478,R-0402,60,1,0.5,0.33,"KT8FL K08070,KT8FL K08166","M1-32,M3-42",3614,0,3614,0,11,4,0,0,99.89,0,0.3,0.11,99.58
0RJ4700C678,R-0402,60,1,0.5,0.33,"KT8FL J79412,KT8FL K08067",M2-8,611,8,603,0,0,3,0,0,99.5,0,0,0.5,99.5
0RJ4701C678,R-0402,60,1,0.5,0.33,"KT8FL K08199,KT8FL K14278,KT8FL K14330,KT8FL K14377,KT8FL K14382,KT8FL K31627,KT8FL K31796",M1-21,62770,10,62760,30,12,98,0,0,99.84,0.05,0.02,0.16,99.82
0RJ4701D677,R-0603,60,1.524,0.762,0.49,"KT8FL J79522,KT8FL K08170",M5-42,600,0,600,0,0,2,0,0,99.67,0,0,0.33,99.67
0RJ4702C478,R-0402,60,1,0.5,0.33,"KT8FL K14345,KT8FL K14367","M1-10,M2-12",6959,0,6959,3,0,3,0,0,99.96,0.04,0,0.04,99.96
0RJ4702C678,R-0402,60,1,0.5,0.33,"KT8FL K08041,KT8FL K14392",M2-39,6352,0,6352,0,0,1,0,0,99.98,0,0,0.02,99.98
0RJ5101C478,R-0402,60,1,0.5,0.33,"KT8FL J79525,KT8FL K14371",M1-16,6060,0,6060,0,0,8,0,0,99.87,0,0,0.13,99.87
0RJ5101C678,R-0402,60,1,0.5,0.33,"KT8FL K08137,KT8FL K31759",M1-24,13316,0,13316,0,2,10,0,0,99.92,0,0.02,0.08,99.91
0RJ5102C478,R-0402,60,1,0.5,0.33,"KT8FL K08133,KT8FL K08177,KT8FL K08180,KT8FL K14278",M2-31,12414,4,12410,0,2,6,0,0,99.95,0,0.02,0.05,99.94
0RJ5102C678,R-0402,60,1,0.5,0.33,"KT8FL K14219,KT8FL K31755",M3-10,305,0,305,0,0,5,0,0,98.36,0,0,1.64,98.36
0RJ5103C478,R-0402,60,1,0.5,0.33,"KT8FL K14338,KT8FL K31754",M2-2,4753,0,4753,0,0,2,0,0,99.96,0,0,0.04,99.96
0RJ5601C477,R-0603,60,1.524,0.762,0.49,"KT8FL J79406,KT8FL K08176",M3-37,5751,0,5751,0,1,2,0,0,99.97,0,0.02,0.03,99.95
0RJ5601C478,R-0402,60,1,0.5,0.33,"KT8FL K14337,KT8FL K31623",M1-30,6055,0,6055,0,1,2,0,0,99.97,0,0.02,0.03,99.95
0RJ5602C478,R-0402,60,1,0.5,0.33,"KT8FL K14350,KT8FL K31751",M2-41,2368,12,2356,0,1,7,0,0,99.7,0,0.04,0.3,99.66
0RJ6201C478,R-0402,60,1,0.5,0.33,"KT8FL K08131,KT8FL K08187,KT8FL K31719",M1-17,11513,2,11511,0,3,4,0,0,99.97,0,0.03,0.03,99.94
0RJ6801C478,R-0402,60,1,0.5,0.33,"KT8FL K08171,KT8FL K14333,KT8FL K31753",M1-14,5762,8,5754,0,0,2,0,0,99.97,0,0,0.03,99.97
0RJ6801C678,R-0402,60,1,0.5,0.33,"KT8FL K08161,KT8FL K14373",M1-35,6362,0,6362,0,0,10,0,0,99.84,0,0,0.16,99.84
0RJ8200C478,R-0402,60,1,0.5,0.33,"KT8FL J79523,KT8FL K31751",M2-41,303,0,303,0,2,1,0,0,99.67,0,0.66,0.33,99.01
0RJ8201C478,R-0402,60,1,0.5,0.33,"KT8FL K08004,KT8FL K14387","M1-11,M1-9",6955,0,6955,1,0,0,0,0,100,0.01,0,0,100
0RJ8201D477,R-0603,60,1.524,0.762,0.49,"KT8FL J79525,KT8FL K08176,KT8FL K14225",M4-40,6061,4,6057,0,5,4,0,0,99.93,0,0.08,0.07,99.85
0RJ9101C478,R-0402,60,1,0.5,0.33,"KT8FL K08006,KT8FL K08177,KT8FL K14383","M1-6,M2-24,M2-45",11513,4,11509,2,0,1,0,0,99.99,0.02,0,0.01,99.99
0TR390609DC,SOT-23,180,1.4,2.9,1.15,"KT8FL K14218,KT8FL K14332",M4-35,600,0,600,0,0,0,0,0,100,0,0,0,100
12-BT3904-0B2VT,SOT-23,180,1.4,2.9,1.15,"KT8FL J79523,KT8FL K14367,KT8FL K31622,KT8FL K31718,KT8FL K31796",M3-41,11406,3,11403,0,1,4,0,0,99.96,0,0.01,0.04,99.96
12-BT3904-0BXVT,SOT-23,180,1.4,2.9,1.15,"KT8FL J79521,KT8FL J79525,KT8FL K08076,KT8FL K08132,KT8FL K08134,KT8FL K08187,KT8FL K14218,KT8FL K14219,KT8FL K14330,KT8FL K14343,KT8FL K14350,KT8FL K14366,KT8FL K14370,KT8FL K14384,KT8FL K14389,KT8FL K14394",M3-17,44487,39,44448,0,5,9,0,0,99.98,0,0.01,0.02,99.97
12-BT3906-0B2VT,SOT-23,180,1.4,2.9,1.15,"KT8FL K08003,KT8FL K08027,KT8FL K08032,KT8FL K08146,KT8FL K08149,KT8FL K14345",M3-39,11409,6,11403,0,1,4,0,0,99.96,0,0.01,0.04,99.96
12-NMCE65-T360KVT,TO252,70,6.1,6.6,2.3,"KT16F 113875,KT16F 114035,KT16F 114036,KT16F 114037,KT16F 114039",M5-15,11402,6,11396,0,0,0,0,0,100,0,0,0,100
12-NML2N7-00200JR,SOT-23-7,180,1.4,2.9,1.15,"KT8FL J79414,KT8FL J79522,KT8FL K08144,KT8FL K08180,KT8FL K14223",M4-43,13244,0,13244,0,0,20,0,0,99.85,0,0,0.15,99.85
