Machine,Position,PartNumber,Qty,Error code,Cause,Job
NXT6,M01-19,0CK104BF56A,33,80003411,Parts rejected due to machine condition,OLED65CS4VA$MODEL1$Original setup T 2
NXT6,M01-19,0CK104BF56A,11,80003410,Parts are being picked shifted in the Q-direction above the tolerance specified in part data for the part.,"55NANO$MODEL1$Original setup T 1,50UT$MODEL1$Original setup T 1,OLED65CS4VA opt test$MODEL1$Original setup T 1,75UT$MODEL1$Original setup T 1,65UT$MODEL1$Original setup T 1,65NANO$MODEL1$Original setup T 1,55NANO-lot46$MODEL1$Original setup T 1"
NXT6,M01-19,004.003.0000045,9,8000D701,"Processing error (shared):
Unable to find a part.",40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-19,0CK104BF56A,8,8000D727,Processing error. The part is incorrect. (Non leaded part),"65NANO$MODEL1$Original setup T 1,50UT$MODEL1$Original setup T 1,OLED65CS4VA opt test$MODEL1$Original setup T 1,75UT$MODEL1$Original setup T 1"
NXT6,M01-19,13-PWLP32-20AB5FJR,3,8000D701,"Processing error (shared):
Unable to find a part.","50GTU4-lot 1--test4$MODEL1$Original setup T 01,50GTU4-lot 1--test4$MODEL1$Original setup T 02"
NXT6,M01-19,004.003.0000045,2,80003411,Parts rejected due to machine condition,40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-19,0CK104BF56A,1,8000D720,"Processing error (non leaded part)
 Part body size X tolerance error.",50UT$MODEL1$Original setup T 1
NXT6,M01-19,0CK104BF56A,1,8000340E,The part has been picked up with misalignment in the X-direction that is greater than the tolerance level specified in part data.,75UT$MODEL1$Original setup T 1
NXT6,M01-19,004.003.0000045,1,80003410,Parts are being picked shifted in the Q-direction above the tolerance specified in part data for the part.,40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-02,28-HB0103-KBXVT,13,8000D701,"Processing error (shared):
Unable to find a part.","55GTU2-lot 1$MODEL1$Original setup T 01,43GTF4 LOT 01$MODEL1$Original setup T V1"
NXT6,M01-02,EAM32500208,10,80003411,Parts rejected due to machine condition,50UT$MODEL1$Original setup T 1
